mz,id,ion,example,formula
842.59113,PS 40:3,[M+H]+,"GPSer(20:1(13Z)/20:2(5Z,8Z))",C46H84NO10P
842.60397,plasmenyl-PC 40:5,[M+Na]+,"PC(P-18:0/22:5(7Z,10Z,13Z,16Z,19Z))",C48H86NO7P
842.61458,MGDG 42:9,[M+NH4-CO]+,"MGDG(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5E,8E,11E,14E))",C51H80O10
842.66389,PC 40:2,[M+H]+,GPCho(18:1(11Z)/22:1(13Z)),C48H92NO8P
842.66389,PE 43:2,[M+H]+,"GPEtn(25:0/18:2(9Z,12Z))",C48H92NO8P
842.67213,MGDG 39:2,[M+NH4]+,"MGDG(21:0/18:2(9Z,12Z))",C48H88O10
842.70026,plasmenyl-PE 44:1,[M+H]+,PE(P-18:0/26:1(5Z)),C49H96NO7P
842.70852,MGDG 41:2,[M+NH4-CO]+,"MGDG(18:2(9E,10E)/23:0)",C50H92O10
842.72333,TG 50:5,[M+NH4]+,TG(16:1/16:1/18:3),C53H92O6
843.49168,PA 44:9,[M+Na2-H]+,"GPA(22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C47H75O8P
843.5082,DGDG 27:1,[M+Na]+,DGDG(14:1(9Z)/13:0),C42H76O15
843.58555,PA 43:2,[M+Na2-H]+,"GPA(17:2(9Z,12Z)/26:0)",C46H87O8P
843.58798,PA 45:5,[M+Na]+,"GPA(20:5(5Z,8Z,11Z,14Z,17Z)/25:0)",C48H85O8P
843.59622,MGDG 39:4,[M+Na]+,"MGDG(24:4(5Z,8Z,11Z,14Z)/15:0)",C48H84O10
843.63558,SM 43:5,[M-H+Na]+,"SM(d19:1(4E)/24:4(5Z,8Z,11Z,14Z))",C48H90N2O6P
843.70497,TG 51:6,[M+Li]+,TG(16:1/17:2/18:3),C54H92O6
843.73187,SM 44:1,[M]+,SM(d18:1(4E)/26:0),C49H100N2O6P
843.74129,TG 49:0,[M+Na]+,TG(16:0/16:0/17:0),C52H100O6
844.51046,PS 39:6,[M+Na]+,"GPSer(17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C45H76NO10P
844.58321,PC 39:5,[M+Na]+,"GPCho(19:0/20:5(5Z,8Z,11Z,14Z,17Z))",C47H84NO8P
844.58321,PE 42:5,[M+Na]+,"GPEtn(18:1(11Z)/24:4(5Z,8Z,11Z,14Z))",C47H84NO8P
844.58564,PE 44:8,[M+H]+,"GPEtn(20:4(5E,8E,11E,14E)/24:4(5Z,8Z,11Z,14Z))",C49H82NO8P
844.59387,MGDG 40:8,[M+NH4]+,"MGDG(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))",C49H78O10
844.60676,PS 40:2,[M+H]+,"GPSer(18:0/22:2(13Z,16Z))",C46H86NO10P
844.61959,plasmenyl-PC 40:4,[M+Na]+,"PC(P-20:0/20:4(5Z,8Z,11Z,14Z))",C48H88NO7P
844.63025,MGDG 42:8,[M+NH4-CO]+,"MGDG(20:4(5E,8E,11E,14E)/22:4(7Z,10Z,13Z,16Z))",C51H82O10
844.67951,PC 40:1,[M+H]+,GPCho(24:0/16:1(7Z)),C48H94NO8P
844.67951,PE 43:1,[M+H]+,GPEtn(21:0/22:1(13Z)),C48H94NO8P
844.68777,MGDG 39:1,[M+NH4]+,MGDG(15:0/24:1(15Z)),C48H90O10
844.71589,plasmenyl-PC 41:0,[M+H]+,PC(P-16:0/25:0),C49H98NO7P
