mz,id,ion,example,formula
141.07392,MG 2:0,[M+Li]+,MG(2:0/0:0/0:0),C5H10O4
152.09228,MG 2:0,[M+NH4]+,MG(2:0/0:0/0:0),C5H10O4
155.08957,MG 3:0,[M+Li]+,MG(3:0/0:0/0:0),C6H12O4
166.10793,MG 3:0,[M+NH4]+,MG(3:0/0:0/0:0),C6H12O4
169.10522,MG 4:0,[M+Li]+,MG(4:0/0:0/0:0),C7H14O4
180.12358,MG 4:0,[M+NH4]+,MG(4:0/0:0/0:0),C7H14O4
183.12087,MG 5:0,[M+Li]+,MG(5:0/0:0/0:0),C8H16O4
194.13923,MG 5:0,[M+NH4]+,MG(5:0/0:0/0:0),C8H16O4
197.13652,MG 6:0,[M+Li]+,MG(6:0/0:0/0:0),C9H18O4
208.15488,MG 6:0,[M+NH4]+,MG(6:0/0:0/0:0),C9H18O4
211.15217,MG 7:0,[M+Li]+,MG(7:0/0:0/0:0),C10H20O4
222.17053,MG 7:0,[M+NH4]+,MG(7:0/0:0/0:0),C10H20O4
225.16782,MG 8:0,[M+Li]+,MG(8:0/0:0/0:0),C11H22O4
236.18618,MG 8:0,[M+NH4]+,MG(8:0/0:0/0:0),C11H22O4
239.18347,MG 9:0,[M+Li]+,MG(9:0/0:0/0:0),C12H24O4
250.20183,MG 9:0,[M+NH4]+,MG(9:0/0:0/0:0),C12H24O4
253.19912,MG 10:0,[M+Li]+,MG(10:0/0:0/0:0),C13H26O4
258.07426,lysoPE 2:0,[M+H]+,PE(2:0/0:0),C7H16NO7P
264.21748,MG 10:0,[M+NH4]+,MG(10:0/0:0/0:0),C13H26O4
267.21477,MG 11:0,[M+Li]+,MG(11:0/0:0/0:0),C14H28O4
272.08991,lysoPE 3:0,[M+H]+,PE(3:0/0:0),C8H18NO7P
278.23313,MG 11:0,[M+NH4]+,MG(11:0/0:0/0:0),C14H28O4
279.02456,PA 4:0,[M+Na]+,GPA(2:0/2:0),C7H13O8P
280.05621,lysoPE 2:0,[M+Na]+,PE(2:0/0:0),C7H16NO7P
281.23042,MG 12:0,[M+Li]+,MG(12:0/0:0/0:0),C15H30O4
286.10557,lysoPE 4:0,[M+H]+,PE(4:0/0:0),C9H20NO7P
292.24878,MG 12:0,[M+NH4]+,MG(12:0/0:0/0:0),C15H30O4
293.04022,PA 5:0,[M+Na]+,GPA(2:0/3:0),C8H15O8P
294.07186,lysoPE 3:0,[M+Na]+,PE(3:0/0:0),C8H18NO7P
295.24607,MG 13:0,[M+Li]+,MG(13:0/0:0/0:0),C16H32O4
300.08482,PE 4:0,[M+H]+,GPEtn(2:0/2:0),C9H18NO8P
300.12122,lysoPC 2:0,[M+H]+,PC(2:0/0:0),C10H22NO7P
300.12122,lysoPE 5:0,[M+H]+,PE(5:0/0:0),C10H22NO7P
301.00651,PA 4:0,[M+Na2-H]+,GPA(2:0/2:0),C7H13O8P
306.26443,MG 13:0,[M+NH4]+,MG(13:0/0:0/0:0),C16H32O4
307.05587,PA 6:0,[M+Na]+,GPA(4:0/2:0),C9H17O8P
307.24607,MG 14:1,[M+Li]+,MG(14:1(9Z)/0:0/0:0),C17H32O4
308.08752,lysoPE 4:0,[M+Na]+,PE(4:0/0:0),C9H20NO7P
309.26172,MG 14:0,[M+Li]+,MG(14:0/0:0/0:0),C17H34O4
314.10047,PE 5:0,[M+H]+,GPEtn(3:0/2:0),C10H20NO8P
314.13685,lysoPC 3:0,[M+H]+,PC(3:0/0:0),C11H24NO7P
314.13685,lysoPE 6:0,[M+H]+,PE(6:0/0:0),C11H24NO7P
315.02217,PA 5:0,[M+Na2-H]+,GPA(3:0/2:0),C8H15O8P
318.26443,MG 14:1,[M+NH4]+,MG(14:1(9Z)/0:0/0:0),C17H32O4
320.28008,MG 14:0,[M+NH4]+,MG(14:0/0:0/0:0),C17H34O4
321.07153,PA 7:0,[M+Na]+,GPA(3:0/4:0),C10H19O8P
321.26172,MG 15:1,[M+Li]+,MG(15:1(9Z)/0:0/0:0),C18H34O4
322.06677,PE 4:0,[M+Na]+,GPEtn(2:0/2:0),C9H18NO8P
322.10317,lysoPC 2:0,[M+Na]+,PC(2:0/0:0),C10H22NO7P
322.10317,lysoPE 5:0,[M+Na]+,PE(5:0/0:0),C10H22NO7P
323.27737,MG 15:0,[M+Li]+,MG(15:0/0:0/0:0),C18H36O4
328.11613,PE 6:0,[M+H]+,GPEtn(4:0/2:0),C11H22NO8P
328.1525,lysoPC 4:0,[M+H]+,PC(4:0/0:0),C12H26NO7P
328.1525,lysoPE 7:0,[M+H]+,PE(7:0/0:0),C12H26NO7P
328.16075,MGDG 4:0,[M+NH4-CO]+,MGDG(2:0/2:0),C13H22O10
329.03782,PA 6:0,[M+Na2-H]+,GPA(4:0/2:0),C9H17O8P
332.28008,MG 15:1,[M+NH4]+,MG(15:1(9Z)/0:0/0:0),C18H34O4
334.29573,MG 15:0,[M+NH4]+,MG(15:0/0:0/0:0),C18H36O4
335.08718,PA 8:0,[M+Na]+,GPA(2:0/6:0),C11H21O8P
335.27737,MG 16:1,[M+Li]+,MG(16:1(7Z)/0:0/0:0),C19H36O4
336.08242,PE 5:0,[M+Na]+,GPEtn(2:0/3:0),C10H20NO8P
336.1188,lysoPC 3:0,[M+Na]+,PC(3:0/0:0),C11H24NO7P
336.1188,lysoPE 6:0,[M+Na]+,PE(6:0/0:0),C11H24NO7P
337.29302,MG 16:0,[M+Li]+,MG(16:0/0:0/0:0),C19H38O4
342.13178,PC 4:0,[M+H]+,GPCho(2:0/2:0),C12H24NO8P
342.13178,PE 7:0,[M+H]+,GPEtn(5:0/2:0),C12H24NO8P
342.16816,lysoPC 5:0,[M+H]+,PC(5:0/0:0),C13H28NO7P
342.16816,lysoPE 8:0,[M+H]+,PE(8:0/0:0),C13H28NO7P
342.17638,MGDG 5:0,[M+NH4-CO]+,MGDG(3:0/2:0),C14H24O10
343.05348,PA 7:0,[M+Na2-H]+,GPA(4:0/3:0),C10H19O8P
344.07465,PS 4:0,[M+H]+,GPSer(2:0/2:0),C10H18NO10P
346.29573,MG 16:1,[M+NH4]+,MG(16:1(9Z)/0:0/0:0),C19H36O4
347.27737,MG 17:2,[M+Li]+,"MG(17:2(9Z,12Z)/0:0/0:0)",C20H36O4
348.31138,MG 16:0,[M+NH4]+,MG(16:0/0:0/0:0),C19H38O4
349.10284,PA 9:0,[M+Na]+,GPA(6:0/3:0),C12H23O8P
349.29302,MG 17:1,[M+Li]+,MG(17:1(9Z)/0:0/0:0),C20H38O4
350.09808,PE 6:0,[M+Na]+,GPEtn(3:0/3:0),C11H22NO8P
350.13445,lysoPC 4:0,[M+Na]+,PC(4:0/0:0),C12H26NO7P
350.13445,lysoPE 7:0,[M+Na]+,PE(7:0/0:0),C12H26NO7P
351.27213,DG 16:0,[M+Li]+,DG(8:0/8:0/0:0),C19H36O5
351.30867,MG 17:0,[M+Li]+,MG(17:0/0:0/0:0),C20H40O4
356.14744,PC 5:0,[M+H]+,GPCho(2:0/3:0),C13H26NO8P
356.14744,PE 8:0,[M+H]+,GPEtn(3:0/5:0),C13H26NO8P
356.15567,MGDG 4:0,[M+NH4]+,MGDG(2:0/2:0),C13H22O10
356.18381,lysoPC 6:0,[M+H]+,PC(6:0/0:0),C14H30NO7P
356.18381,lysoPE 9:0,[M+H]+,PE(9:0/0:0),C14H30NO7P
356.19205,MGDG 6:0,[M+NH4-CO]+,MGDG(2:0/4:0),C15H26O10
357.06913,PA 8:0,[M+Na2-H]+,GPA(3:0/5:0),C11H21O8P
357.26172,MG 18:4,[M+Li]+,"MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0)",C21H34O4
358.09031,PS 5:0,[M+H]+,GPSer(2:0/3:0),C11H20NO10P
358.29573,MG 17:2,[M+NH4]+,"MG(17:2(9Z,12Z)/0:0/0:0)",C20H36O4
359.27737,MG 18:3,[M+Li]+,"MG(18:3(6Z,9Z,12Z)/0:0/0:0)",C21H36O4
360.31138,MG 17:1,[M+NH4]+,MG(17:1(9Z)/0:0/0:0),C20H38O4
361.11107,MGDG 4:0,[M+Na]+,MGDG(2:0/2:0),C13H22O10
361.29302,MG 18:2,[M+Li]+,"MG(18:2(9E,12E)/0:0/0:0)",C21H38O4
362.29049,DG 16:0,[M+NH4]+,DG(8:0/8:0/0:0),C19H36O5
362.32703,MG 17:0,[M+NH4]+,MG(17:0/0:0/0:0),C20H40O4
363.11846,PA 10:0,[M+Na]+,GPA(4:0/6:0),C13H25O8P
363.30867,MG 18:1,[M+Li]+,MG(18:1(7Z)/0:0/0:0),C21H40O4
364.11373,PC 4:0,[M+Na]+,GPCho(2:0/2:0),C12H24NO8P
364.11373,PE 7:0,[M+Na]+,GPEtn(5:0/2:0),C12H24NO8P
364.15011,lysoPC 5:0,[M+Na]+,PC(5:0/0:0),C13H28NO7P
364.15011,lysoPE 8:0,[M+Na]+,PE(8:0/0:0),C13H28NO7P
365.28777,DG 17:0,[M+Li]+,DG(9:0/8:0/0:0),C20H38O5
365.32432,MG 18:0,[M+Li]+,MG(18:0/0:0/0:0),C21H42O4
366.0566,PS 4:0,[M+Na]+,GPSer(2:0/2:0),C10H18NO10P
366.20454,CerP 16:1,[M+H]+,CerP(d14:1(4E)/2:0),C16H32NO6P
368.22019,CerP 16:0,[M+H]+,CerP(d14:0/2:0),C16H34NO6P
368.28008,MG 18:4,[M+NH4]+,"MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0)",C21H34O4
370.16306,PC 6:0,[M+H]+,GPCho(4:0/2:0),C14H28NO8P
370.16306,PE 9:0,[M+H]+,GPEtn(4:0/5:0),C14H28NO8P
370.1713,MGDG 5:0,[M+NH4]+,MGDG(2:0/3:0),C14H24O10
370.19947,lysoPC 7:0,[M+H]+,PC(7:0/0:0),C15H32NO7P
370.19947,lysoPE 10:0,[M+H]+,PE(10:0/0:0),C15H32NO7P
370.20769,MGDG 7:0,[M+NH4-CO]+,MGDG(2:0/5:0),C16H28O10
370.29573,MG 18:3,[M+NH4]+,"MG(18:3(6Z,9Z,12Z)/0:0/0:0)",C21H36O4
371.08479,PA 9:0,[M+Na2-H]+,GPA(7:0/2:0),C12H23O8P
372.10596,PS 6:0,[M+H]+,GPSer(2:0/4:0),C12H22NO10P
372.31138,MG 18:2,[M+NH4]+,"MG(18:2(9Z,11Z)/0:0/0:0)",C21H38O4
374.32703,MG 18:1,[M+NH4]+,MG(18:1(13Z)/0:0/0:0),C21H40O4
375.1267,MGDG 5:0,[M+Na]+,MGDG(3:0/2:0),C14H24O10
376.30613,DG 17:0,[M+NH4]+,DG(9:0/8:0/0:0),C20H38O5
376.34268,MG 18:0,[M+NH4]+,MG(18:0/0:0/0:0),C21H42O4
377.13412,PA 11:0,[M+Na]+,GPA(5:0/6:0),C14H27O8P
378.12939,PC 5:0,[M+Na]+,GPCho(2:0/3:0),C13H26NO8P
378.12939,PE 8:0,[M+Na]+,GPEtn(3:0/5:0),C13H26NO8P
378.16576,lysoPC 6:0,[M+Na]+,PC(6:0/0:0),C14H30NO7P
378.16576,lysoPE 9:0,[M+Na]+,PE(9:0/0:0),C14H30NO7P
379.30341,DG 18:0,[M+Li]+,DG(8:0/10:0/0:0),C21H40O5
379.33997,MG 19:0,[M+Li]+,MG(19:0/0:0/0:0),C22H44O4
380.07226,PS 5:0,[M+Na]+,GPSer(3:0/2:0),C11H20NO10P
380.22019,CerP 17:1,[M+H]+,CerP(d15:1(4E)/2:0),C17H34NO6P
382.23585,CerP 17:0,[M+H]+,CerP(d15:0/2:0),C17H36NO6P
383.27737,MG 20:5,[M+Li]+,"MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)",C23H36O4
384.17872,PC 7:0,[M+H]+,GPCho(3:0/4:0),C15H30NO8P
384.17872,PE 10:0,[M+H]+,GPEtn(5:0/5:0),C15H30NO8P
384.18697,MGDG 6:0,[M+NH4]+,MGDG(2:0/4:0),C15H26O10
384.2151,lysoPC 8:0,[M+H]+,PC(8:0/0:0),C16H34NO7P
384.2151,lysoPE 11:0,[M+H]+,PE(11:0/0:0),C16H34NO7P
384.22335,MGDG 8:0,[M+NH4-CO]+,MGDG(5:0/3:0),C17H30O10
385.10041,PA 10:0,[M+Na2-H]+,GPA(5:0/5:0),C13H25O8P
385.29302,MG 20:4,[M+Li]+,"MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)",C23H38O4
386.12159,PS 7:0,[M+H]+,GPSer(2:0/5:0),C13H24NO10P
387.30867,MG 20:3,[M+Li]+,"MG(20:3(5Z,8Z,11Z)/0:0/0:0)",C23H40O4
389.14237,MGDG 6:0,[M+Na]+,MGDG(4:0/2:0),C15H26O10
389.32432,MG 20:2,[M+Li]+,"MG(20:2(11Z,14Z)/0:0/0:0)",C23H42O4
390.32177,DG 18:0,[M+NH4]+,DG(9:0/9:0/0:0),C21H40O5
390.35833,MG 19:0,[M+NH4]+,MG(19:0/0:0/0:0),C22H44O4
391.14977,PA 12:0,[M+Na]+,GPA(3:0/9:0),C15H29O8P
391.33997,MG 20:1,[M+Li]+,MG(20:1(11E)/0:0/0:0),C23H44O4
392.14501,PC 6:0,[M+Na]+,GPCho(4:0/2:0),C14H28NO8P
392.14501,PE 9:0,[M+Na]+,GPEtn(5:0/4:0),C14H28NO8P
392.18142,lysoPC 7:0,[M+Na]+,PC(7:0/0:0),C15H32NO7P
392.18142,lysoPE 10:0,[M+Na]+,PE(10:0/0:0),C15H32NO7P
393.31905,DG 19:0,[M+Li]+,DG(10:0/9:0/0:0),C22H42O5
393.35562,MG 20:0,[M+Li]+,MG(20:0/0:0/0:0),C23H46O4
394.08791,PS 6:0,[M+Na]+,GPSer(4:0/2:0),C12H22NO10P
394.23585,CerP 18:1,[M+H]+,CerP(d16:1(4E)/2:0),C18H36NO6P
394.29573,MG 20:5,[M+NH4]+,"MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)",C23H36O4
396.2515,CerP 18:0,[M+H]+,CerP(d16:0/2:0),C18H38NO6P
396.31138,MG 20:4,[M+NH4]+,"MG(20:4(7E,10E,13E,16E)/0:0/0:0)",C23H38O4
398.19437,PC 8:0,[M+H]+,GPCho(6:0/2:0),C16H32NO8P
398.19437,PE 11:0,[M+H]+,GPEtn(2:0/9:0),C16H32NO8P
398.20261,MGDG 7:0,[M+NH4]+,MGDG(2:0/5:0),C16H28O10
398.23075,lysoPC 9:0,[M+H]+,PC(9:0/0:0),C17H36NO7P
398.23075,lysoPE 12:0,[M+H]+,PE(12:0/0:0),C17H36NO7P
398.239,MGDG 9:0,[M+NH4-CO]+,MGDG(7:0/2:0),C18H32O10
398.32703,MG 20:3,[M+NH4]+,"MG(20:3(5Z,8Z,11Z)/0:0/0:0)",C23H40O4
399.11607,PA 11:0,[M+Na2-H]+,GPA(5:0/6:0),C14H27O8P
400.13725,PS 8:0,[M+H]+,GPSer(3:0/5:0),C14H26NO10P
400.34268,MG 20:2,[M+NH4]+,"MG(20:2(5Z,8Z)/0:0/0:0)",C23H42O4
402.35833,MG 20:1,[M+NH4]+,MG(20:1(11E)/0:0/0:0),C23H44O4
403.15801,MGDG 7:0,[M+Na]+,MGDG(3:0/4:0),C16H28O10
404.33741,DG 19:0,[M+NH4]+,DG(11:0/8:0/0:0),C22H42O5
404.37398,MG 20:0,[M+NH4]+,MG(20:0/0:0/0:0),C23H46O4
405.16543,PA 13:0,[M+Na]+,GPA(4:0/9:0),C16H31O8P
406.16067,PC 7:0,[M+Na]+,GPCho(5:0/2:0),C15H30NO8P
406.16067,PE 10:0,[M+Na]+,GPEtn(7:0/3:0),C15H30NO8P
406.19705,lysoPC 8:0,[M+Na]+,PC(8:0/0:0),C16H34NO7P
406.19705,lysoPE 11:0,[M+Na]+,PE(11:0/0:0),C16H34NO7P
407.33469,DG 20:0,[M+Li]+,DG(10:0/10:0/0:0),C23H44O5
407.37127,MG 21:0,[M+Li]+,MG(21:0/0:0/0:0),C24H48O4
408.10354,PS 7:0,[M+Na]+,GPSer(5:0/2:0),C13H24NO10P
408.2515,CerP 19:1,[M+H]+,CerP(d17:1(4E)/2:0),C19H38NO6P
409.29302,MG 22:6,[M+Li]+,"MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)",C25H38O4
410.26716,CerP 19:0,[M+H]+,CerP(d17:0/2:0),C19H40NO6P
411.30867,MG 22:5,[M+Li]+,"MG(22:5(7Z,10Z,13Z,16Z,19Z)/0:0/0:0)",C25H40O4
412.21003,PC 9:0,[M+H]+,GPCho(5:0/4:0),C17H34NO8P
412.21003,PE 12:0,[M+H]+,GPEtn(6:0/6:0),C17H34NO8P
412.21827,MGDG 8:0,[M+NH4]+,MGDG(6:0/2:0),C17H30O10
412.24641,lysoPC 10:0,[M+H]+,PC(10:0/0:0),C18H38NO7P
412.24641,lysoPE 13:0,[M+H]+,PE(13:0/0:0),C18H38NO7P
412.25465,MGDG 10:0,[M+NH4-CO]+,MGDG(8:0/2:0),C19H34O10
413.13172,PA 12:0,[M+Na2-H]+,GPA(4:0/8:0),C15H29O8P
413.32432,MG 22:4,[M+Li]+,"MG(22:4(7Z,10Z,13Z,16Z)/0:0/0:0)",C25H42O4
414.1529,PS 9:0,[M+H]+,GPSer(6:0/3:0),C15H28NO10P
417.17367,MGDG 8:0,[M+Na]+,MGDG(5:0/3:0),C17H30O10
417.35562,MG 22:2,[M+Li]+,"MG(22:2(13Z,16Z)/0:0/0:0)",C25H46O4
418.35305,DG 20:0,[M+NH4]+,DG(10:0/10:0/0:0),C23H44O5
418.38963,MG 21:0,[M+NH4]+,MG(21:0/0:0/0:0),C24H48O4
419.18108,PA 14:0,[M+Na]+,GPA(12:0/2:0),C17H33O8P
419.37127,MG 22:1,[M+Li]+,MG(22:1(13Z)/0:0/0:0),C25H48O4
420.17632,PC 8:0,[M+Na]+,GPCho(2:0/6:0),C16H32NO8P
420.17632,PE 11:0,[M+Na]+,GPEtn(4:0/7:0),C16H32NO8P
420.2127,lysoPC 9:0,[M+Na]+,PC(9:0/0:0),C17H36NO7P
420.2127,lysoPE 12:0,[M+Na]+,PE(12:0/0:0),C17H36NO7P
420.31138,MG 22:6,[M+NH4]+,"MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)",C25H38O4
421.35033,DG 21:0,[M+Li]+,DG(8:0/13:0/0:0),C24H46O5
421.38692,MG 22:0,[M+Li]+,MG(22:0/0:0/0:0),C25H50O4
422.1192,PS 8:0,[M+Na]+,GPSer(4:0/4:0),C14H26NO10P
422.26716,CerP 20:1,[M+H]+,CerP(d18:1(4E)/2:0),C20H40NO6P
422.32703,MG 22:5,[M+NH4]+,"MG(22:5(4Z,7Z,10Z,13Z,16Z)/0:0/0:0)",C25H40O4
424.24641,lysoPE 14:1,[M+H]+,PE(14:1(9Z)/0:0),C19H38NO7P
424.28278,CerP 20:0,[M+H]+,CerP(d18:0/2:0),C20H42NO6P
424.34268,MG 22:4,[M+NH4]+,"MG(22:4(7Z,10Z,13Z,16Z)/0:0/0:0)",C25H42O4
426.22568,PC 10:0,[M+H]+,GPCho(6:0/4:0),C18H36NO8P
426.22568,PE 13:0,[M+H]+,GPEtn(7:0/6:0),C18H36NO8P
426.23392,MGDG 9:0,[M+NH4]+,MGDG(5:0/4:0),C18H32O10
426.26206,lysoPC 11:0,[M+H]+,PC(11:0/0:0),C19H40NO7P
426.26206,lysoPE 14:0,[M+H]+,PE(14:0/0:0),C19H40NO7P
426.27028,MGDG 11:0,[M+NH4-CO]+,MGDG(2:0/9:0),C20H36O10
427.14738,PA 13:0,[M+Na2-H]+,GPA(7:0/6:0),C16H31O8P
428.16856,PS 10:0,[M+H]+,GPSer(8:0/2:0),C16H30NO10P
428.37398,MG 22:2,[M+NH4]+,"MG(22:2(13Z,16Z)/0:0/0:0)",C25H46O4
430.38963,MG 22:1,[M+NH4]+,MG(22:1(13Z)/0:0/0:0),C25H48O4
431.18932,MGDG 9:0,[M+Na]+,MGDG(6:0/3:0),C18H32O10
432.36869,DG 21:0,[M+NH4]+,DG(12:0/9:0/0:0),C24H46O5
432.40528,MG 22:0,[M+NH4]+,MG(22:0/0:0/0:0),C25H50O4
433.19671,PA 15:0,[M+Na]+,GPA(10:0/5:0),C18H35O8P
433.35033,DG 22:1,[M+Li]+,DG(8:0/14:1/0:0),C25H46O5
434.19198,PC 9:0,[M+Na]+,GPCho(2:0/7:0),C17H34NO8P
434.19198,PE 12:0,[M+Na]+,GPEtn(2:0/10:0),C17H34NO8P
434.22836,lysoPC 10:0,[M+Na]+,PC(10:0/0:0),C18H38NO7P
434.22836,lysoPE 13:0,[M+Na]+,PE(13:0/0:0),C18H38NO7P
435.36597,DG 22:0,[M+Li]+,DG(11:0/11:0/0:0),C25H48O5
435.40257,MG 23:0,[M+Li]+,MG(23:0/0:0/0:0),C26H52O4
436.13485,PS 9:0,[M+Na]+,GPSer(3:0/6:0),C15H28NO10P
436.28278,CerP 21:1,[M+H]+,CerP(d19:1(4E)/2:0),C21H42NO6P
438.26206,lysoPE 15:1,[M+H]+,PE(15:1(9Z)/0:0),C20H40NO7P
438.29844,CerP 21:0,[M+H]+,CerP(d19:0/2:0),C21H44NO6P
438.29844,lysoPE 16:0,[M+H]+,PE(P-16:0/0:0),C21H44NO6P
440.24131,PC 11:0,[M+H]+,GPCho(8:0/3:0),C19H38NO8P
440.24131,PE 14:0,[M+H]+,GPEtn(10:0/4:0),C19H38NO8P
440.24957,MGDG 10:0,[M+NH4]+,MGDG(2:0/8:0),C19H34O10
440.27772,lysoPC 12:0,[M+H]+,PC(12:0/0:0),C20H42NO7P
440.27772,lysoPE 15:0,[M+H]+,PE(15:0/0:0),C20H42NO7P
440.28595,MGDG 12:0,[M+NH4-CO]+,MGDG(10:0/2:0),C21H38O10
440.31409,lysoPE 16:0,[M+H]+,PE(O-16:0/0:0),C21H46NO6P
441.16303,PA 14:0,[M+Na2-H]+,GPA(8:0/6:0),C17H33O8P
441.35562,MG 24:4,[M+Li]+,"MG(24:4(5Z,8Z,11Z,14Z)/0:0/0:0)",C27H46O4
442.18421,PS 11:0,[M+H]+,GPSer(3:0/8:0),C17H32NO10P
444.36869,DG 22:1,[M+NH4]+,DG(8:0/14:1/0:0),C25H46O5
445.19671,PA 16:1,[M+Na]+,GPA(2:0/14:1(9Z)),C19H35O8P
445.20497,MGDG 10:0,[M+Na]+,MGDG(3:0/7:0),C19H34O10
446.22836,lysoPE 14:1,[M+Na]+,PE(14:1(9Z)/0:0),C19H38NO7P
446.38433,DG 22:0,[M+NH4]+,DG(14:0/8:0/0:0),C25H48O5
446.42093,MG 23:0,[M+NH4]+,MG(23:0/0:0/0:0),C26H52O4
447.21237,PA 16:0,[M+Na]+,GPA(14:0/2:0),C19H37O8P
447.36597,DG 23:1,[M+Li]+,DG(14:1/9:0/0:0),C26H48O5
447.40257,MG 24:1,[M+Li]+,MG(24:1(15Z)/0:0/0:0),C27H52O4
448.20763,PC 10:0,[M+Na]+,GPCho(6:0/4:0),C18H36NO8P
448.20763,PE 13:0,[M+Na]+,GPEtn(8:0/5:0),C18H36NO8P
448.24401,lysoPC 11:0,[M+Na]+,PC(11:0/0:0),C19H40NO7P
448.24401,lysoPE 14:0,[M+Na]+,PE(14:0/0:0),C19H40NO7P
449.38161,DG 23:0,[M+Li]+,DG(13:0/10:0/0:0),C26H50O5
449.41822,MG 24:0,[M+Li]+,MG(24:0/0:0/0:0),C27H54O4
450.15051,PS 10:0,[M+Na]+,GPSer(7:0/3:0),C16H30NO10P
451.2937,SM 16:1,[M]+,SM(d14:1(4E)/2:0),C21H44N2O6P
452.27772,lysoPE 16:1,[M+H]+,PE(16:1(9Z)/0:0),C21H42NO7P
452.37398,MG 24:4,[M+NH4]+,"MG(24:4(5Z,8Z,11Z,14Z)/0:0/0:0)",C27H46O4
453.30936,SM 16:0,[M]+,SM(d14:0/2:0),C21H46N2O6P
454.25697,PC 12:0,[M+H]+,GPCho(8:0/4:0),C20H40NO8P
454.25697,PE 15:0,[M+H]+,GPEtn(7:0/8:0),C20H40NO8P
454.2652,MGDG 11:0,[M+NH4]+,MGDG(5:0/6:0),C20H36O10
454.29337,lysoPC 13:0,[M+H]+,PC(13:0/0:0),C21H44NO7P
454.29337,lysoPE 16:0,[M+H]+,PE(16:0/0:0),C21H44NO7P
454.3016,MGDG 13:0,[M+NH4-CO]+,MGDG(2:0/11:0),C22H40O10
455.17866,PA 15:0,[M+Na2-H]+,GPA(3:0/12:0),C18H35O8P
456.19987,PS 12:0,[M+H]+,GPSer(10:0/2:0),C18H34NO10P
458.38433,DG 23:1,[M+NH4]+,DG(14:1/9:0/0:0),C26H48O5
458.42093,MG 24:1,[M+NH4]+,MG(24:1(15Z)/0:0/0:0),C27H52O4
459.21237,PA 17:1,[M+Na]+,GPA(15:1(9Z)/2:0),C20H37O8P
459.2206,MGDG 11:0,[M+Na]+,MGDG(2:0/9:0),C20H36O10
460.24401,lysoPE 15:1,[M+Na]+,PE(15:1(9Z)/0:0),C20H40NO7P
460.28039,lysoPE 16:0,[M+Na]+,PE(P-16:0/0:0),C21H44NO6P
460.39997,DG 23:0,[M+NH4]+,DG(14:0/9:0/0:0),C26H50O5
460.43658,MG 24:0,[M+NH4]+,MG(24:0/0:0/0:0),C27H54O4
461.22802,PA 17:0,[M+Na]+,GPA(11:0/6:0),C20H39O8P
461.38161,DG 24:1,[M+Li]+,DG(9:0/15:1/0:0),C27H50O5
462.22326,PC 11:0,[M+Na]+,GPCho(5:0/6:0),C19H38NO8P
462.22326,PE 14:0,[M+Na]+,GPEtn(4:0/10:0),C19H38NO8P
462.25967,lysoPC 12:0,[M+Na]+,PC(12:0/0:0),C20H42NO7P
462.25967,lysoPE 15:0,[M+Na]+,PE(15:0/0:0),C20H42NO7P
462.29604,lysoPE 16:0,[M+Na]+,PE(O-16:0/0:0),C21H46NO6P
463.39725,DG 24:0,[M+Li]+,DG(10:0/14:0/0:0),C27H52O5
463.43387,MG 25:0,[M+Li]+,MG(25:0/0:0/0:0),C28H56O4
464.16616,PS 11:0,[M+Na]+,GPSer(2:0/9:0),C17H32NO10P
464.27772,lysoPE 17:2,[M+H]+,"PE(17:2(9Z,12Z)/0:0)",C22H42NO7P
465.30936,SM 17:1,[M]+,SM(d15:1(4E)/2:0),C22H46N2O6P
466.25697,PE 16:1,[M+H]+,GPEtn(2:0/14:1(9Z)),C21H40NO8P
466.29337,lysoPC 14:1,[M+H]+,PC(14:1(9Z)/0:0),C22H44NO7P
466.29337,lysoPE 17:1,[M+H]+,PE(17:1(9Z)/0:0),C22H44NO7P
466.32975,lysoPE 18:0,[M+H]+,PE(P-18:0/0:0),C23H48NO6P
467.17866,PA 16:1,[M+Na2-H]+,GPA(2:0/14:1(9Z)),C19H35O8P
467.32501,SM 17:0,[M]+,SM(d15:0/2:0),C22H48N2O6P
468.27262,PC 13:0,[M+H]+,GPCho(11:0/2:0),C21H42NO8P
468.27262,PE 16:0,[M+H]+,GPEtn(13:0/3:0),C21H42NO8P
468.28087,MGDG 12:0,[M+NH4]+,MGDG(5:0/7:0),C21H38O10
468.309,lysoPC 14:0,[M+H]+,PC(14:0/0:0),C22H46NO7P
468.309,lysoPE 17:0,[M+H]+,PE(17:0/0:0),C22H46NO7P
468.31725,MGDG 14:0,[M+NH4-CO]+,MGDG(8:0/6:0),C23H42O10
468.34541,lysoPE 18:0,[M+H]+,PE(O-18:0/0:0),C23H50NO6P
469.19432,PA 16:0,[M+Na2-H]+,GPA(6:0/10:0),C19H37O8P
470.21549,PS 13:0,[M+H]+,GPSer(2:0/11:0),C19H36NO10P
472.39997,DG 24:1,[M+NH4]+,DG(16:1/8:0/0:0),C27H50O5
