HMDB_ID,id,formula,mz,charge,ion
HMDB0055377,"TG(18:4(6Z,9Z,12Z,15Z)/18:0/20:5(5Z,8Z,11Z,14Z,17Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0055380,"TG(18:4(6Z,9Z,12Z,15Z)/18:0/o-18:0)",C57H104O5,867.7811,-1,[M-H]1-
HMDB0055384,"TG(18:4(6Z,9Z,12Z,15Z)/20:0/22:5(7Z,10Z,13Z,16Z,19Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0055385,"TG(18:4(6Z,9Z,12Z,15Z)/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0055388,"TG(18:4(6Z,9Z,12Z,15Z)/22:0/20:4(8Z,11Z,14Z,17Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0055389,"TG(18:4(6Z,9Z,12Z,15Z)/22:0/20:5(5Z,8Z,11Z,14Z,17Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0055392,"TG(18:4(6Z,9Z,12Z,15Z)/22:0/o-18:0)",C61H112O5,923.8437002,-1,[M-H]1-
HMDB0055393,"TG(18:4(6Z,9Z,12Z,15Z)/24:0/18:4(6Z,9Z,12Z,15Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0055398,"TG(18:4(6Z,9Z,12Z,15Z)/24:0/o-18:0)",C63H116O5,951.8750004,-1,[M-H]1-
HMDB0055410,"TG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/o-18:0)",C55H98O5,837.7341498,-1,[M-H]1-
HMDB0055412,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(11Z)/20:4(8Z,11Z,14Z,17Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0055415,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055416,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(11Z)/o-18:0)",C57H102O5,865.7654499,-1,[M-H]1-
HMDB0055418,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0055421,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055422,"TG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/o-18:0)",C57H102O5,865.7654499,-1,[M-H]1-
HMDB0055423,"TG(18:4(6Z,9Z,12Z,15Z)/20:1(11Z)/18:4(6Z,9Z,12Z,15Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0055426,"TG(18:4(6Z,9Z,12Z,15Z)/20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0055427,"TG(18:4(6Z,9Z,12Z,15Z)/20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0055430,"TG(18:4(6Z,9Z,12Z,15Z)/20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055436,"TG(18:4(6Z,9Z,12Z,15Z)/22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0055437,"TG(18:4(6Z,9Z,12Z,15Z)/22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0055439,"TG(18:4(6Z,9Z,12Z,15Z)/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0055441,"TG(18:4(6Z,9Z,12Z,15Z)/24:1(15Z)/18:4(6Z,9Z,12Z,15Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0055446,"TG(18:4(6Z,9Z,12Z,15Z)/24:1(15Z)/o-18:0)",C63H114O5,949.8593503,-1,[M-H]1-
HMDB0055450,"TG(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055461,"TG(18:4(6Z,9Z,12Z,15Z)/20:2n6/20:5(5Z,8Z,11Z,14Z,17Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055462,"TG(18:4(6Z,9Z,12Z,15Z)/20:2n6/22:5(7Z,10Z,13Z,16Z,19Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0055466,"TG(18:4(6Z,9Z,12Z,15Z)/20:3n6/20:4(8Z,11Z,14Z,17Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0055478,"TG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0055479,"TG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0055480,"TG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0055481,"TG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0055486,"TG(18:4(6Z,9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0055487,"TG(18:4(6Z,9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H98O6,973.7290644,-1,[M-H]1-
HMDB0055492,"TG(18:4(6Z,9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H98O6,973.7290644,-1,[M-H]1-
HMDB0055518,"TG(18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/o-18:0)",C59H98O5,885.7341498,-1,[M-H]1-
HMDB0055522,"TG(18:4(6Z,9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H98O6,973.7290644,-1,[M-H]1-
HMDB0055533,"TG(18:4(6Z,9Z,12Z,15Z)/o-18:0/20:5(5Z,8Z,11Z,14Z,17Z))",C59H98O5,885.7341498,-1,[M-H]1-
HMDB0055538,"TG(20:4(8Z,11Z,14Z,17Z)/14:0/22:5(7Z,10Z,13Z,16Z,19Z))",C59H96O6,899.7134143,-1,[M-H]1-
