"","File","Group"
"1","ms1/mut/AA03.mzXML","Mut"
"2","ms1/mut/AA05.mzXML","Mut"
"3","ms1/mut/AA07.mzXML","Mut"
"4","ms1/wt/AA10.mzXML","WT"
"5","ms1/wt/AA12.mzXML","WT"
"6","ms1/wt/AA14.mzXML","WT"
"7","ms1/wt/AA16.mzXML","WT"
